success,spl,distance
0.0,0.0,18.352127
1.0,0.9814748690110286,10.129709
0.0,0.0,21.892464
0.0,0.0,23.822702
0.0,0.0,10.903679
0.0,0.0,14.061316
0.0,0.0,18.576017
1.0,0.9241398343360542,15.2241535
0.0,0.0,19.4796
0.0,0.0,21.082598
